[82_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0574
[83_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0574
[84_Solution] EECBS_MAKESPAN: 20, SOC(A*): 150, MS(A*): 20, TIMECOST: 0.0576
[85_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0575
[86_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0566
[87_Solution] EECBS_MAKESPAN: 20, SOC(A*): 150, MS(A*): 20, TIMECOST: 0.0568
[88_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0609
[89_Solution] EECBS_MAKESPAN: 20, SOC(A*): 150, MS(A*): 20, TIMECOST: 0.0571
[90_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0572
[91_Solution] EECBS_MAKESPAN: 20, SOC(A*): 150, MS(A*): 20, TIMECOST: 0.0569
[92_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0573
[93_Solution] EECBS_MAKESPAN: 20, SOC(A*): 150, MS(A*): 20, TIMECOST: 0.0575
[94_Solution] EECBS_MAKESPAN: 20, SOC(A*): 150, MS(A*): 20, TIMECOST: 0.0567
[95_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0576
[96_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0572
[97_Solution] EECBS_MAKESPAN: 20, SOC(A*): 150, MS(A*): 20, TIMECOST: 0.0570
[98_Solution] EECBS_MAKESPAN: 20, SOC(A*): 150, MS(A*): 20, TIMECOST: 0.0568
[99_Solution] EECBS_MAKESPAN: 20, SOC(A*): 150, MS(A*): 20, TIMECOST: 0.0576
[100_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0583
[101_Solution] EECBS_MAKESPAN: 20, SOC(A*): 150, MS(A*): 20, TIMECOST: 0.0572
[102_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0560
[103_Solution] EECBS_MAKESPAN: 20, SOC(A*): 150, MS(A*): 20, TIMECOST: 0.0557
[104_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0562
[105_Solution] EECBS_MAKESPAN: 20, SOC(A*): 150, MS(A*): 20, TIMECOST: 0.0559
