[INIT] EECBS_MAKESPAN: 22, SOC(A*): 118, MS(A*): 22, Hungarian time: 0.2693
[172_Solution] EECBS_MAKESPAN: 20, SOC(A*): 137, MS(A*): 20, TIMECOST: 0.0564
[173_Solution] EECBS_MAKESPAN: 20, SOC(A*): 137, MS(A*): 20, TIMECOST: 0.0564
[174_Solution] EECBS_MAKESPAN: 20, SOC(A*): 137, MS(A*): 20, TIMECOST: 0.0566
[175_Solution] EECBS_MAKESPAN: 20, SOC(A*): 137, MS(A*): 20, TIMECOST: 0.0565
[176_Solution] EECBS_MAKESPAN: 20, SOC(A*): 137, MS(A*): 20, TIMECOST: 0.0566
[177_Solution] EECBS_MAKESPAN: 20, SOC(A*): 137, MS(A*): 20, TIMECOST: 0.0562
[178_Solution] EECBS_MAKESPAN: 20, SOC(A*): 137, MS(A*): 20, TIMECOST: 0.0563
[179_Solution] EECBS_MAKESPAN: 20, SOC(A*): 137, MS(A*): 20, TIMECOST: 0.0563
[180_Solution] EECBS_MAKESPAN: 20, SOC(A*): 137, MS(A*): 20, TIMECOST: 0.0565
[181_Solution] EECBS_MAKESPAN: 20, SOC(A*): 137, MS(A*): 20, TIMECOST: 0.0564
[182_Solution] EECBS_MAKESPAN: 20, SOC(A*): 137, MS(A*): 20, TIMECOST: 0.0566
[183_Solution] EECBS_MAKESPAN: 20, SOC(A*): 137, MS(A*): 20, TIMECOST: 0.0569
[184_Solution] EECBS_MAKESPAN: 20, SOC(A*): 137, MS(A*): 20, TIMECOST: 0.0566
[185_Solution] EECBS_MAKESPAN: 20, SOC(A*): 137, MS(A*): 20, TIMECOST: 0.0569
[186_Solution] EECBS_MAKESPAN: 20, SOC(A*): 137, MS(A*): 20, TIMECOST: 0.0566
[187_Solution] EECBS_MAKESPAN: 20, SOC(A*): 137, MS(A*): 20, TIMECOST: 0.0566
[188_Solution] EECBS_MAKESPAN: 20, SOC(A*): 137, MS(A*): 20, TIMECOST: 0.0565
[189_Solution] EECBS_MAKESPAN: 20, SOC(A*): 137, MS(A*): 20, TIMECOST: 0.0767
[190_Solution] EECBS_MAKESPAN: 20, SOC(A*): 137, MS(A*): 20, TIMECOST: 0.0577
[191_Solution] EECBS_MAKESPAN: 20, SOC(A*): 137, MS(A*): 20, TIMECOST: 0.0592
[192_Solution] EECBS_MAKESPAN: 20, SOC(A*): 137, MS(A*): 20, TIMECOST: 0.0568
[193_Solution] EECBS_MAKESPAN: 20, SOC(A*): 137, MS(A*): 20, TIMECOST: 0.0571
[194_Solution] EECBS_MAKESPAN: 20, SOC(A*): 137, MS(A*): 20, TIMECOST: 0.0725
[195_Solution] EECBS_MAKESPAN: 20, SOC(A*): 137, MS(A*): 20, TIMECOST: 0.0662
[196_Solution] EECBS_MAKESPAN: 20, SOC(A*): 137, MS(A*): 20, TIMECOST: 0.0602
[197_Solution] EECBS_MAKESPAN: 20, SOC(A*): 137, MS(A*): 20, TIMECOST: 0.0929
[198_Solution] EECBS_MAKESPAN: 20, SOC(A*): 137, MS(A*): 20, TIMECOST: 0.0579
[199_Solution] EECBS_MAKESPAN: 20, SOC(A*): 137, MS(A*): 20, TIMECOST: 0.0575
[200_Solution] EECBS_MAKESPAN: 20, SOC(A*): 137, MS(A*): 20, TIMECOST: 0.0566
[201_Solution] EECBS_MAKESPAN: 20, SOC(A*): 137, MS(A*): 20, TIMECOST: 0.0564
[202_Solution] EECBS_MAKESPAN: 20, SOC(A*): 137, MS(A*): 20, TIMECOST: 0.0570
[203_Solution] EECBS_MAKESPAN: 20, SOC(A*): 137, MS(A*): 20, TIMECOST: 0.0563
[204_Solution] EECBS_MAKESPAN: 20, SOC(A*): 137, MS(A*): 20, TIMECOST: 0.0568
[205_Solution] EECBS_MAKESPAN: 20, SOC(A*): 137, MS(A*): 20, TIMECOST: 0.0566
[206_Solution] EECBS_MAKESPAN: 20, SOC(A*): 137, MS(A*): 20, TIMECOST: 0.0578
[207_Solution] EECBS_MAKESPAN: 20, SOC(A*): 137, MS(A*): 20, TIMECOST: 0.0569
[208_Solution] EECBS_MAKESPAN: 20, SOC(A*): 137, MS(A*): 20, TIMECOST: 0.0568
[209_Solution] EECBS_MAKESPAN: 20, SOC(A*): 137, MS(A*): 20, TIMECOST: 0.0565
[210_Solution] EECBS_MAKESPAN: 20, SOC(A*): 137, MS(A*): 20, TIMECOST: 0.0567
