  0%|                                                                                                                                                                  | 0/20 [00:00<?, ?it/s]
a : [13 30], t : [[28, 15]]

a : [16  5], t : [[21, 5]]

a : [ 3 10], t : [[3, 8]]

a : [ 7 28], t : [[5, 24]]

a : [20 15], t : [[20, 6]]

a : [16 21], t : [[29, 8]]

a : [21  3], t : [[23, 23]]

a : [25 14], t : [[2, 28]]

a : [17 27], t : [[2, 5]]

a : [13  9], t : [[15, 13]]

a : [15 11], t : [[15, 6]]

a : [18 16], t : [[2, 5]]

a : [ 7 11], t : [[8, 9]]

a : [21 24], t : [[3, 0]]

a : [25 17], t : [[6, 21]]

a : [ 7 21], t : [[7, 11]]

a : [29  5], t : [[7, 2]]

a : [24  9], t : [[2, 28]]

a : [21 23], t : [[3, 11]]

a : [17 23], t : [[12, 0]]

a : [13 29], t : [[23, 23]]

a : [17  5], t : [[21, 5]]

a : [3 9], t : [[3, 8]]

a : [ 7 27], t : [[5, 24]]

a : [19 15], t : [[6, 2]]

a : [17 21], t : [[8, 4]]

a : [22  3], t : [[20, 6]]

a : [25 15], t : [[29, 8]]

a : [17 26], t : [[29, 22]]

a : [14  9], t : [[15, 13]]

a : [15 10], t : [[15, 6]]

a : [17 16], t : [[4, 30]]

a : [ 8 11], t : [[8, 9]]

a : [20 24], t : [[8, 4]]

a : [25 18], t : [[29, 8]]

a : [ 7 20], t : [[7, 11]]

a : [29  4], t : [[6, 21]]

a : [24 10], t : [[6, 2]]

a : [20 23], t : [[2, 5]]

a : [16 23], t : [[12, 0]]

a : [14 29], t : [[4, 28]]

a : [18  5], t : [[21, 5]]

a : [3 8], t : [[14, 1]]

a : [ 6 27], t : [[5, 24]]

a : [18 15], t : [[23, 23]]

a : [17 20], t : [[7, 2]]

a : [22  4], t : [[20, 6]]

a : [26 15], t : [[28, 15]]

a : [18 26], t : [[3, 11]]

a : [14 11], t : [[15, 13]]

a : [15  8], t : [[15, 6]]

a : [16 17], t : [[2, 28]]

a : [8 9], t : [[24, 22]]

a : [20 22], t : [[14, 1]]

a : [25 16], t : [[6, 21]]

a : [ 7 18], t : [[7, 11]]

a : [28  5], t : [[7, 2]]

a : [23  9], t : [[29, 8]]

a : [19 22], t : [[6, 2]]

a : [16 21], t : [[23, 2]]

a : [12 29], t : [[4, 28]]

a : [20  5], t : [[21, 5]]

a : [4 7], t : [[23, 23]]

a : [ 5 26], t : [[5, 24]]

a : [19 16], t : [[8, 4]]

a : [15 20], t : [[29, 22]]

a : [22  6], t : [[20, 6]]

a : [28 15], t : [[7, 25]]

a : [17 25], t : [[12, 0]]

a : [15 11], t : [[15, 13]]

a : [15  7], t : [[15, 6]]

a : [15 17], t : [[6, 2]]

a : [ 8 10], t : [[12, 0]]

a : [20 21], t : [[23, 23]]

a : [25 17], t : [[2, 25]]

a : [ 7 17], t : [[7, 11]]

a : [28  4], t : [[24, 22]]

a : [23  8], t : [[29, 8]]

a : [19 21], t : [[7, 25]]

a : [17 21], t : [[2, 28]]

a : [11 29], t : [[4, 28]]

a : [21  5], t : [[4, 30]]

a : [4 8], t : [[3, 0]]

a : [ 5 25], t : [[5, 24]]

a : [18 16], t : [[29, 22]]

a : [15 21], t : [[8, 4]]

a : [21  6], t : [[20, 6]]

a : [27 15], t : [[3, 11]]

a : [16 25], t : [[7, 2]]

a : [15 12], t : [[15, 13]]

a : [15  6], t : [[29, 22]]

a : [15 16], t : [[6, 21]]

a : [8 9], t : [[7, 2]]

a : [21 21], t : [[23, 23]]

a : [24 17], t : [[4, 30]]

a : [ 7 16], t : [[7, 11]]

a : [28  5], t : [[3, 0]]

a : [24  8], t : [[29, 8]]

a : [18 21], t : [[2, 25]]

a : [17 22], t : [[14, 1]]

a : [10 29], t : [[4, 28]]

a : [20  5], t : [[8, 4]]

a : [4 7], t : [[3, 11]]

a : [ 5 24], t : [[2, 5]]

a : [19 16], t : [[12, 0]]

a : [14 21], t : [[2, 28]]

a : [20  6], t : [[7, 25]]

a : [26 15], t : [[24, 22]]

a : [16 24], t : [[6, 2]]

a : [15 13], t : [[2, 25]]

a : [15  7], t : [[6, 2]]

a : [14 16], t : [[7, 25]]

a : [7 9], t : [[7, 2]]

a : [22 21], t : [[23, 23]]

a : [24 18], t : [[4, 30]]

a : [ 7 15], t : [[7, 11]]

a : [27  5], t : [[3, 0]]

a : [25  8], t : [[29, 8]]

a : [17 21], t : [[23, 2]]

a : [16 22], t : [[2, 28]]

a : [ 9 29], t : [[4, 28]]

a : [19  5], t : [[12, 0]]

a : [3 7], t : [[3, 11]]

a : [ 4 24], t : [[2, 5]]

a : [18 16], t : [[14, 1]]

a : [13 21], t : [[8, 4]]

a : [19  6], t : [[6, 21]]

a : [26 16], t : [[24, 22]]

a : [15 24], t : [[29, 22]]

a : [14 15], t : [[29, 22]]

a : [13  6], t : [[7, 25]]

a : [14 19], t : [[14, 1]]

a : [7 6], t : [[7, 2]]

a : [23 23], t : [[2, 28]]

a : [22 19], t : [[22, 19]]

a : [ 7 12], t : [[7, 11]]

a : [24  5], t : [[8, 4]]

a : [28  8], t : [[29, 8]]

a : [18 19], t : [[23, 2]]

a : [13 22], t : [[6, 2]]

a : [ 6 29], t : [[4, 28]]

a : [17  4], t : [[12, 0]]

a : [ 3 10], t : [[3, 11]]

a : [ 4 21], t : [[4, 30]]

a : [18 13], t : [[2, 25]]

a : [10 21], t : [[2, 5]]

a : [17  7], t : [[6, 21]]

a : [24 17], t : [[24, 22]]

a : [18 24], t : [[3, 0]]

a : [14 16], t : [[2, 28]]

a : [12  6], t : [[12, 6]]

a : [14 18], t : [[8, 4]]

a : [7 5], t : [[7, 2]]

a : [23 24], t : [[2, 5]]

a : [22 19], t : [[7, 25]]

a : [ 7 11], t : [[7, 11]]

a : [23  5], t : [[29, 22]]

a : [29  8], t : [[3, 0]]

a : [18 18], t : [[14, 1]]

a : [13 21], t : [[23, 2]]

a : [ 6 28], t : [[4, 28]]

a : [16  4], t : [[12, 0]]

a : [ 3 11], t : [[3, 11]]

a : [ 4 22], t : [[2, 25]]

a : [18 14], t : [[6, 21]]

a : [ 9 21], t : [[6, 2]]

a : [16  7], t : [[16, 7]]

a : [24 18], t : [[24, 22]]

a : [18 23], t : [[4, 30]]

a : [13 17], t : [[13, 17]]

a : [12  6], t : [[3, 0]]

a : [12 18], t : [[2, 5]]

a : [7 3], t : [[7, 2]]

a : [22 23], t : [[14, 1]]

a : [21 20], t : [[4, 30]]

a : [ 7 11], t : [[7, 25]]

a : [23  7], t : [[23, 7]]

a : [29  6], t : [[29, 6]]

a : [18 16], t : [[18, 16]]

a : [14 20], t : [[23, 2]]

a : [ 4 28], t : [[2, 28]]

a : [14  4], t : [[12, 0]]

a : [ 3 11], t : [[6, 21]]

a : [ 2 22], t : [[2, 25]]

a : [17 15], t : [[8, 4]]

a : [ 9 19], t : [[6, 2]]

a : [16  7], t : [[29, 22]]

a : [24 20], t : [[24, 22]]

a : [16 23], t : [[16, 23]]

a : [13 17], t : [[23, 2]]

a : [11  6], t : [[11, 6]]

a : [11 18], t : [[2, 5]]

a : [7 2], t : [[14, 1]]

a : [21 23], t : [[6, 2]]

a : [21 21], t : [[21, 21]]

a : [ 7 12], t : [[7, 25]]

a : [23  7], t : [[8, 4]]

a : [29  6], t : [[4, 30]]

a : [18 16], t : [[18, 16]]

a : [15 20], t : [[29, 22]]

a : [ 3 28], t : [[2, 28]]

a : [14  3], t : [[12, 0]]

a : [ 4 11], t : [[4, 11]]

a : [ 2 23], t : [[2, 25]]

a : [16 15], t : [[3, 0]]

a : [ 9 18], t : [[9, 18]]

a : [16  8], t : [[16, 8]]

a : [24 21], t : [[24, 22]]

a : [16 23], t : [[6, 21]]

a : [14 17], t : [[14, 17]]

a : [11  6], t : [[29, 22]]

a : [11 17], t : [[3, 0]]

a : [8 2], t : [[14, 1]]

a : [20 23], t : [[8, 4]]

a : [21 21], t : [[21, 21]]

a : [ 8 12], t : [[8, 12]]

a : [22  7], t : [[4, 30]]

a : [28  6], t : [[28, 6]]

a : [18 16], t : [[23, 2]]

a : [15 21], t : [[24, 22]]

a : [ 2 28], t : [[6, 21]]

a : [14  2], t : [[12, 0]]

a : [ 4 11], t : [[6, 2]]

a : [ 2 24], t : [[2, 25]]

a : [16 14], t : [[16, 14]]

a : [ 9 18], t : [[9, 18]]

a : [16  8], t : [[2, 5]]

a : [24 21], t : [[7, 25]]

a : [16 22], t : [[16, 22]]

a : [14 17], t : [[14, 17]]

a : [12  6], t : [[6, 2]]

a : [10 17], t : [[10, 17]]

a : [9 2], t : [[14, 1]]

a : [19 23], t : [[7, 25]]

a : [21 21], t : [[21, 21]]

a : [ 8 12], t : [[8, 12]]

a : [22  8], t : [[3, 0]]

a : [28  6], t : [[23, 2]]

a : [19 16], t : [[19, 16]]

a : [16 21], t : [[24, 22]]

a : [ 2 27], t : [[2, 27]]

a : [14  1], t : [[12, 0]]

a : [ 4 10], t : [[29, 22]]

a : [ 2 25], t : [[2, 5]]

a : [16 14], t : [[4, 30]]

a : [ 9 18], t : [[8, 4]]

a : [16  7], t : [[16, 7]]

a : [23 21], t : [[6, 21]]

a : [16 22], t : [[16, 22]]

a : [14 17], t : [[14, 17]]

a : [11  4], t : [[6, 2]]

a : [10 17], t : [[6, 21]]

a : [12  2], t : [[14, 1]]

a : [17 24], t : [[3, 0]]

a : [21 21], t : [[29, 22]]

a : [ 8 12], t : [[8, 4]]

a : [21  6], t : [[2, 5]]

a : [28  3], t : [[23, 2]]

a : [19 16], t : [[19, 16]]

a : [19 21], t : [[24, 22]]

a : [ 2 27], t : [[7, 25]]

a : [12  0], t : [[12, 0]]

a : [ 6 11], t : [[6, 11]]

a : [ 3 23], t : [[3, 23]]

a : [16 17], t : [[4, 30]]

a : [ 8 16], t : [[8, 16]]

a : [16  7], t : [[16, 7]]

a : [20 21], t : [[20, 21]]

a : [16 22], t : [[16, 22]]

a : [14 17], t : [[14, 17]]

a : [10  2], t : [[6, 2]]

a : [10 20], t : [[6, 21]]

a : [14  1], t : [[4, 30]]

a : [15 23], t : [[15, 23]]

a : [23 22], t : [[29, 22]]

a : [8 9], t : [[8, 4]]

a : [18  6], t : [[2, 5]]

a : [25  3], t : [[23, 2]]

a : [19 16], t : [[19, 16]]

a : [21 22], t : [[24, 22]]

a : [ 4 26], t : [[7, 25]]

a : [12  0], t : [[12, 0]]

a : [ 6 11], t : [[6, 11]]

a : [ 3 23], t : [[3, 0]]

a : [14 18], t : [[14, 18]]

a : [ 8 16], t : [[8, 16]]

a : [16  7], t : [[16, 7]]

a : [20 21], t : [[20, 21]]

a : [16 22], t : [[16, 22]]

a : [14 17], t : [[14, 17]]

a : [7 2], t : [[6, 2]]

a : [ 8 21], t : [[6, 21]]

a : [13  3], t : [[2, 5]]

a : [15 23], t : [[15, 23]]

a : [26 22], t : [[29, 22]]

a : [8 6], t : [[8, 4]]

a : [15  6], t : [[15, 6]]

a : [23  2], t : [[23, 2]]

a : [19 16], t : [[3, 0]]

a : [24 22], t : [[24, 22]]

a : [ 7 26], t : [[7, 25]]

a : [12  0], t : [[12, 0]]

a : [ 6 11], t : [[6, 11]]

a : [ 3 20], t : [[3, 20]]

a : [14 18], t : [[14, 18]]

a : [ 8 16], t : [[8, 16]]

a : [16  7], t : [[16, 7]]

a : [20 21], t : [[4, 30]]

a : [16 22], t : [[16, 22]]

a : [14 17], t : [[14, 17]]

a : [6 2], t : [[6, 2]]

a : [ 7 21], t : [[6, 21]]

a : [13  2], t : [[3, 0]]

a : [15 23], t : [[2, 5]]

a : [27 22], t : [[29, 22]]

a : [8 5], t : [[8, 4]]

a : [15  6], t : [[15, 6]]

a : [23  2], t : [[23, 2]]

a : [19 15], t : [[19, 15]]

a : [24 22], t : [[24, 22]]

a : [ 7 25], t : [[7, 25]]

a : [12  0], t : [[12, 0]]

a : [ 6 11], t : [[4, 30]]

a : [ 3 20], t : [[3, 20]]

a : [14 18], t : [[14, 18]]

a : [ 8 16], t : [[8, 16]]

a : [16  7], t : [[16, 7]]

a : [20 22], t : [[20, 22]]

a : [16 22], t : [[16, 22]]

a : [14 17], t : [[14, 17]]

a : [6 2], t : [[6, 2]]

a : [ 6 21], t : [[6, 21]]

a : [12  2], t : [[3, 0]]

a : [15 22], t : [[15, 22]]

a : [28 22], t : [[29, 22]]

a : [8 4], t : [[8, 4]]

a : [15  6], t : [[15, 6]]

a : [23  2], t : [[23, 2]]

a : [19 15], t : [[19, 15]]

a : [24 22], t : [[4, 30]]

a : [ 7 25], t : [[2, 5]]

a : [12  0], t : [[12, 0]]

a : [ 5 11], t : [[5, 11]]

a : [ 3 20], t : [[3, 20]]

a : [14 18], t : [[14, 18]]

a : [ 8 16], t : [[8, 16]]

a : [16  7], t : [[16, 7]]

a : [20 22], t : [[20, 22]]

a : [16 22], t : [[16, 22]]

a : [14 17], t : [[14, 17]]

a : [6 2], t : [[6, 2]]

a : [ 6 21], t : [[6, 21]]

a : [11  2], t : [[11, 2]]

a : [15 22], t : [[15, 22]]

a : [29 22], t : [[4, 30]]

a : [8 4], t : [[8, 4]]

a : [15  6], t : [[15, 6]]

a : [23  2], t : [[23, 2]]

a : [19 15], t : [[2, 5]]

a : [24 23], t : [[24, 23]]

a : [ 7 24], t : [[7, 24]]

a : [12  0], t : [[12, 0]]

a : [ 5 11], t : [[5, 11]]

a : [ 3 20], t : [[3, 20]]

a : [14 18], t : [[14, 18]]

a : [ 8 16], t : [[8, 16]]

a : [16  7], t : [[3, 0]]

a : [20 22], t : [[20, 22]]

a : [16 22], t : [[16, 22]]

a : [14 17], t : [[14, 17]]

a : [6 2], t : [[6, 2]]

a : [ 6 21], t : [[6, 21]]

a : [11  2], t : [[11, 2]]

a : [15 22], t : [[15, 22]]

a : [15 28], t : [[15, 28]]

a : [8 4], t : [[8, 4]]

a : [15  6], t : [[15, 6]]

a : [23  2], t : [[23, 2]]

a : [8 6], t : [[2, 5]]

a : [24 23], t : [[24, 23]]

a : [ 7 24], t : [[7, 24]]

a : [12  0], t : [[4, 30]]

a : [ 5 11], t : [[5, 11]]

a : [ 3 20], t : [[3, 20]]

a : [14 18], t : [[14, 18]]

a : [ 8 16], t : [[8, 16]]

a : [3 0], t : [[3, 0]]

a : [20 22], t : [[20, 22]]

a : [16 22], t : [[16, 22]]

a : [14 17], t : [[14, 17]]

a : [6 2], t : [[6, 2]]

a : [ 6 21], t : [[6, 21]]

a : [11  2], t : [[11, 2]]

a : [15 22], t : [[15, 22]]

a : [15 28], t : [[15, 28]]

a : [8 4], t : [[8, 4]]

a : [15  6], t : [[15, 6]]

a : [23  2], t : [[4, 30]]

a : [2 5], t : [[2, 5]]

a : [24 23], t : [[24, 23]]

a : [ 7 24], t : [[7, 24]]

a : [10  5], t : [[10, 5]]

a : [ 5 11], t : [[5, 11]]

a : [ 3 20], t : [[3, 20]]

a : [14 18], t : [[14, 18]]

a : [ 8 16], t : [[8, 16]]

a : [3 0], t : [[3, 0]]

a : [20 22], t : [[20, 22]]

a : [16 22], t : [[16, 22]]

[[7, 4], [15, 14], [47, 16], [37, 36, 23, 34], [45, 42], [32, 19], [46, 8], [1, 39], [12, 24, 5, 0, 17], [9, 27, 22], [31, 13, 35], [28, 3, 38, 26], [41, 40, 29, 49], [18, 6, 10], [20, 11, 30], [], [2], [25, 21, 48], [43, 44], [33]]
a : [1 2], t : [[7, 0]]

a : [24 16], t : [[18, 12]]

a : [28  7], t : [[8, 29]]

a : [22  9], t : [[9, 13]]

a : [15 15], t : [[19, 7]]

a : [15 19], t : [[13, 14]]

a : [ 0 11], t : [[28, 17]]

a : [22  7], t : [[27, 13]]

a : [26 18], t : [[3, 3]]

a : [23 27], t : [[3, 24]]

a : [15 27], t : [[18, 8]]

a : [21 19], t : [[16, 21]]

a : [9 5], t : [[17, 18]]

a : [1 9], t : [[5, 14]]

a : [11 26], t : [[21, 25]]

a : [25 14], t : [[11, 25]]

a : [17 15], t : [[23, 29]]

a : [ 8 23], t : [[30, 21]]

a : [27 11], t : [[12, 9]]

a : [27  9], t : [[18, 24]]

a : [6 0], t : [[7, 0]]

a : [20 13], t : [[18, 12]]

a : [24 10], t : [[26, 8]]

a : [19 13], t : [[11, 25]]

a : [18 11], t : [[19, 7]]

a : [13 14], t : [[3, 24]]

a : [ 4 14], t : [[30, 3]]

a : [24 12], t : [[27, 13]]

a : [23 14], t : [[8, 29]]

a : [16 27], t : [[20, 7]]

a : [17 22], t : [[30, 24]]

a : [16 21], t : [[18, 28]]

a : [12  9], t : [[22, 11]]

a : [ 5 12], t : [[5, 14]]

a : [16 24], t : [[21, 25]]

a : [19 15], t : [[28, 17]]

a : [21 18], t : [[5, 30]]

a : [15 23], t : [[24, 14]]

a : [22  9], t : [[25, 30]]

a : [23 12], t : [[26, 17]]

a : [7 0], t : [[28, 17]]

a : [19 13], t : [[18, 12]]

a : [24  9], t : [[26, 8]]

a : [19 14], t : [[11, 25]]

a : [19 11], t : [[19, 7]]

a : [13 15], t : [[8, 29]]

a : [ 5 14], t : [[20, 7]]

a : [24 13], t : [[27, 13]]

a : [23 15], t : [[30, 3]]

a : [17 27], t : [[21, 23]]

a : [18 22], t : [[30, 24]]

a : [17 21], t : [[18, 28]]

a : [12 10], t : [[2, 13]]

a : [ 5 13], t : [[5, 14]]

a : [17 24], t : [[21, 25]]

a : [20 15], t : [[18, 24]]

a : [20 18], t : [[24, 14]]

a : [15 22], t : [[17, 18]]

