[INIT] EECBS_MAKESPAN: 22, SOC(A*): 118, MS(A*): 22, Hungarian time: 0.2637
[108_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0627
[109_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0616
[110_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0624
[111_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0626
[112_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0625
[113_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0616
[114_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0620
[115_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0621
[116_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0628
[117_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0625
[118_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0622
[119_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0627
[120_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0626
[121_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0619
[122_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0623
[123_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0624
[124_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0627
[125_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0307
[126_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0312
[127_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0310
[128_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0309
[129_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0314
[130_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0314
[131_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0309
[132_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0308
[133_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0308
[134_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0314
[135_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0309
[136_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0315
[137_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0310
[138_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0312
[139_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0309
[140_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0311
[141_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0311
[142_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0310
[143_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0307
[144_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0313
[145_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0311
[146_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0314
[147_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0314
[148_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0312
[149_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0311
[150_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0311
[151_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0314
[152_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0307
[153_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0310
[154_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0307
[155_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0313
[156_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0314
[157_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0314
[158_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0309
[159_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0313
[160_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0310
[161_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0308
[162_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0323
[163_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0314
[164_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0312
[165_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0309
[166_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0314
[167_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0307
[168_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0316
[169_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0308
[170_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0308
[171_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0327
[172_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0311
[173_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0310
[174_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0315
[175_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0309
[176_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0304
[177_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0305
[178_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0312
[179_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0308
[180_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0309
[181_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0308
[182_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0305
[183_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0310
[184_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0352
