[INIT] EECBS_MAKESPAN: 22, SOC(A*): 118, MS(A*): 22, Hungarian time: 0.4187
[135_Solution] EECBS_MAKESPAN: 20, SOC(A*): 110, MS(A*): 20, TIMECOST: 0.0196
[136_Solution] EECBS_MAKESPAN: 20, SOC(A*): 110, MS(A*): 20, TIMECOST: 0.0195
[137_Solution] EECBS_MAKESPAN: 20, SOC(A*): 110, MS(A*): 20, TIMECOST: 0.0207
[138_Solution] EECBS_MAKESPAN: 20, SOC(A*): 110, MS(A*): 20, TIMECOST: 0.0199
[139_Solution] EECBS_MAKESPAN: 20, SOC(A*): 110, MS(A*): 20, TIMECOST: 0.0196
[140_Solution] EECBS_MAKESPAN: 20, SOC(A*): 110, MS(A*): 20, TIMECOST: 0.0198
[141_Solution] EECBS_MAKESPAN: 20, SOC(A*): 110, MS(A*): 20, TIMECOST: 0.0195
[142_Solution] EECBS_MAKESPAN: 20, SOC(A*): 110, MS(A*): 20, TIMECOST: 0.0193
[143_Solution] EECBS_MAKESPAN: 20, SOC(A*): 110, MS(A*): 20, TIMECOST: 0.0195
[144_Solution] EECBS_MAKESPAN: 20, SOC(A*): 110, MS(A*): 20, TIMECOST: 0.0198
[145_Solution] EECBS_MAKESPAN: 20, SOC(A*): 110, MS(A*): 20, TIMECOST: 0.0196
[146_Solution] EECBS_MAKESPAN: 20, SOC(A*): 110, MS(A*): 20, TIMECOST: 0.0195
[147_Solution] EECBS_MAKESPAN: 20, SOC(A*): 110, MS(A*): 20, TIMECOST: 0.0195
[148_Solution] EECBS_MAKESPAN: 20, SOC(A*): 110, MS(A*): 20, TIMECOST: 0.0195
[149_Solution] EECBS_MAKESPAN: 20, SOC(A*): 110, MS(A*): 20, TIMECOST: 0.0196
[150_Solution] EECBS_MAKESPAN: 20, SOC(A*): 110, MS(A*): 20, TIMECOST: 0.0195
[151_Solution] EECBS_MAKESPAN: 20, SOC(A*): 110, MS(A*): 20, TIMECOST: 0.0197
[152_Solution] EECBS_MAKESPAN: 20, SOC(A*): 110, MS(A*): 20, TIMECOST: 0.0199
[153_Solution] EECBS_MAKESPAN: 20, SOC(A*): 110, MS(A*): 20, TIMECOST: 0.0197
[154_Solution] EECBS_MAKESPAN: 20, SOC(A*): 110, MS(A*): 20, TIMECOST: 0.0196
[155_Solution] EECBS_MAKESPAN: 20, SOC(A*): 110, MS(A*): 20, TIMECOST: 0.0197
[156_Solution] EECBS_MAKESPAN: 20, SOC(A*): 110, MS(A*): 20, TIMECOST: 0.0198
[157_Solution] EECBS_MAKESPAN: 20, SOC(A*): 110, MS(A*): 20, TIMECOST: 0.0196
[158_Solution] EECBS_MAKESPAN: 20, SOC(A*): 110, MS(A*): 20, TIMECOST: 0.0197
[159_Solution] EECBS_MAKESPAN: 20, SOC(A*): 110, MS(A*): 20, TIMECOST: 0.0196
[160_Solution] EECBS_MAKESPAN: 20, SOC(A*): 110, MS(A*): 20, TIMECOST: 0.0196
[161_Solution] EECBS_MAKESPAN: 20, SOC(A*): 110, MS(A*): 20, TIMECOST: 0.0196
[162_Solution] EECBS_MAKESPAN: 20, SOC(A*): 110, MS(A*): 20, TIMECOST: 0.0196
[163_Solution] EECBS_MAKESPAN: 20, SOC(A*): 110, MS(A*): 20, TIMECOST: 0.0197
[164_Solution] EECBS_MAKESPAN: 20, SOC(A*): 110, MS(A*): 20, TIMECOST: 0.0198
[165_Solution] EECBS_MAKESPAN: 20, SOC(A*): 110, MS(A*): 20, TIMECOST: 0.0196
[166_Solution] EECBS_MAKESPAN: 20, SOC(A*): 110, MS(A*): 20, TIMECOST: 0.0194
