[INIT] EECBS_MAKESPAN: 22, SOC(A*): 118, MS(A*): 22, Hungarian time: 0.2722
[117_Solution] EECBS_MAKESPAN: 20, SOC(A*): 153, MS(A*): 20, TIMECOST: 0.0535
[118_Solution] EECBS_MAKESPAN: 20, SOC(A*): 153, MS(A*): 20, TIMECOST: 0.0526
[119_Solution] EECBS_MAKESPAN: 20, SOC(A*): 153, MS(A*): 20, TIMECOST: 0.0537
[120_Solution] EECBS_MAKESPAN: 20, SOC(A*): 153, MS(A*): 20, TIMECOST: 0.0524
[121_Solution] EECBS_MAKESPAN: 20, SOC(A*): 153, MS(A*): 20, TIMECOST: 0.0532
[122_Solution] EECBS_MAKESPAN: 20, SOC(A*): 153, MS(A*): 20, TIMECOST: 0.0532
[123_Solution] EECBS_MAKESPAN: 20, SOC(A*): 153, MS(A*): 20, TIMECOST: 0.0554
[124_Solution] EECBS_MAKESPAN: 20, SOC(A*): 153, MS(A*): 20, TIMECOST: 0.0538
[125_Solution] EECBS_MAKESPAN: 20, SOC(A*): 153, MS(A*): 20, TIMECOST: 0.1096
[126_Solution] EECBS_MAKESPAN: 20, SOC(A*): 153, MS(A*): 20, TIMECOST: 0.0624
[127_Solution] EECBS_MAKESPAN: 20, SOC(A*): 153, MS(A*): 20, TIMECOST: 0.0619
[128_Solution] EECBS_MAKESPAN: 20, SOC(A*): 153, MS(A*): 20, TIMECOST: 0.0540
[129_Solution] EECBS_MAKESPAN: 20, SOC(A*): 153, MS(A*): 20, TIMECOST: 0.0533
[130_Solution] EECBS_MAKESPAN: 20, SOC(A*): 153, MS(A*): 20, TIMECOST: 0.0530
[131_Solution] EECBS_MAKESPAN: 20, SOC(A*): 153, MS(A*): 20, TIMECOST: 0.0523
[132_Solution] EECBS_MAKESPAN: 20, SOC(A*): 153, MS(A*): 20, TIMECOST: 0.0520
[133_Solution] EECBS_MAKESPAN: 20, SOC(A*): 153, MS(A*): 20, TIMECOST: 0.0528
[134_Solution] EECBS_MAKESPAN: 20, SOC(A*): 153, MS(A*): 20, TIMECOST: 0.0528
[135_Solution] EECBS_MAKESPAN: 20, SOC(A*): 153, MS(A*): 20, TIMECOST: 0.0527
[136_Solution] EECBS_MAKESPAN: 20, SOC(A*): 153, MS(A*): 20, TIMECOST: 0.0526
[137_Solution] EECBS_MAKESPAN: 20, SOC(A*): 153, MS(A*): 20, TIMECOST: 0.0540
[138_Solution] EECBS_MAKESPAN: 20, SOC(A*): 153, MS(A*): 20, TIMECOST: 0.0534
[139_Solution] EECBS_MAKESPAN: 20, SOC(A*): 153, MS(A*): 20, TIMECOST: 0.0527
[140_Solution] EECBS_MAKESPAN: 20, SOC(A*): 153, MS(A*): 20, TIMECOST: 0.0527
[141_Solution] EECBS_MAKESPAN: 20, SOC(A*): 153, MS(A*): 20, TIMECOST: 0.0529
[142_Solution] EECBS_MAKESPAN: 20, SOC(A*): 153, MS(A*): 20, TIMECOST: 0.0531
[143_Solution] EECBS_MAKESPAN: 20, SOC(A*): 153, MS(A*): 20, TIMECOST: 0.0534
[144_Solution] EECBS_MAKESPAN: 20, SOC(A*): 153, MS(A*): 20, TIMECOST: 0.0541
[145_Solution] EECBS_MAKESPAN: 20, SOC(A*): 153, MS(A*): 20, TIMECOST: 0.0529
[146_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0208
[147_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0208
[148_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0209
[149_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0206
[150_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0208
[151_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0207
[152_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0207
[153_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0206
[154_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0206
[155_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0206
[156_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0205
[157_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0207
[158_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0209
[159_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0207
[160_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0205
[161_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0208
[162_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0206
[163_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0207
[164_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0205
[165_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0207
[166_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0205
[167_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0207
[168_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0234
[169_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0207
[170_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0210
[171_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0217
[172_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0215
[173_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0208
[174_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0213
[175_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0209
[176_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0210
[177_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0209
[178_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0208
[179_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0215
[180_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0208
[181_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0209
[182_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0211
[183_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0211
[184_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0203
[185_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0215
[186_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0207
[187_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0210
[188_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0207
[189_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0205
[190_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0207
[191_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0210
[192_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0208
[193_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0205
[194_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0207
[195_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0208
[196_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0208
[197_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0205
[198_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0205
[199_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0207
[200_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0209
[201_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0207
[202_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0206
[203_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0206
[204_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0205
[205_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0208
[206_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0204
[207_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0205
[208_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0210
[209_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0208
[210_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0207
[211_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0204
[212_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0204
[213_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0210
[214_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0209
[215_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0209
[216_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0204
[217_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0209
[218_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0206
[219_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0206
[220_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0204
[221_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0206
[222_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0207
[223_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0203
[224_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0208
[225_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0205
[226_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0203
[227_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0206
[228_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0205
[229_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0202
[230_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0202
[231_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0203
[232_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0203
[233_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0203
[234_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0204
[235_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0203
[236_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0207
[237_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0205
[238_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0206
[239_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0202
[240_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0205
[241_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0203
[242_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0203
[243_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0202
[244_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0205
[245_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0206
[246_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0206
[247_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0203
[248_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0205
[249_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0204
[250_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0203
[251_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0202
