[INIT] EECBS_MAKESPAN: 22, SOC(A*): 118, MS(A*): 22, Hungarian time: 0.2534
[104_Solution] EECBS_MAKESPAN: 21, SOC(A*): 152, MS(A*): 21, TIMECOST: 0.0290
[105_Solution] EECBS_MAKESPAN: 21, SOC(A*): 152, MS(A*): 21, TIMECOST: 0.0293
[106_Solution] EECBS_MAKESPAN: 21, SOC(A*): 152, MS(A*): 21, TIMECOST: 0.0289
[107_Solution] EECBS_MAKESPAN: 21, SOC(A*): 152, MS(A*): 21, TIMECOST: 0.0290
[108_Solution] EECBS_MAKESPAN: 21, SOC(A*): 152, MS(A*): 21, TIMECOST: 0.0289
[109_Solution] EECBS_MAKESPAN: 21, SOC(A*): 152, MS(A*): 21, TIMECOST: 0.0288
[110_Solution] EECBS_MAKESPAN: 21, SOC(A*): 152, MS(A*): 21, TIMECOST: 0.0290
[111_Solution] EECBS_MAKESPAN: 21, SOC(A*): 152, MS(A*): 21, TIMECOST: 0.0292
[112_Solution] EECBS_MAKESPAN: 21, SOC(A*): 152, MS(A*): 21, TIMECOST: 0.0288
[113_Solution] EECBS_MAKESPAN: 21, SOC(A*): 152, MS(A*): 21, TIMECOST: 0.0292
[114_Solution] EECBS_MAKESPAN: 21, SOC(A*): 152, MS(A*): 21, TIMECOST: 0.0290
[115_Solution] EECBS_MAKESPAN: 21, SOC(A*): 152, MS(A*): 21, TIMECOST: 0.0292
[116_Solution] EECBS_MAKESPAN: 21, SOC(A*): 152, MS(A*): 21, TIMECOST: 0.0291
[117_Solution] EECBS_MAKESPAN: 21, SOC(A*): 152, MS(A*): 21, TIMECOST: 0.0292
[118_Solution] EECBS_MAKESPAN: 21, SOC(A*): 152, MS(A*): 21, TIMECOST: 0.0288
[119_Solution] EECBS_MAKESPAN: 21, SOC(A*): 152, MS(A*): 21, TIMECOST: 0.0288
[120_Solution] EECBS_MAKESPAN: 21, SOC(A*): 152, MS(A*): 21, TIMECOST: 0.0290
[121_Solution] EECBS_MAKESPAN: 21, SOC(A*): 152, MS(A*): 21, TIMECOST: 0.0293
[122_Solution] EECBS_MAKESPAN: 21, SOC(A*): 152, MS(A*): 21, TIMECOST: 0.0293
[123_Solution] EECBS_MAKESPAN: 21, SOC(A*): 152, MS(A*): 21, TIMECOST: 0.0295
[124_Solution] EECBS_MAKESPAN: 21, SOC(A*): 152, MS(A*): 21, TIMECOST: 0.0293
[125_Solution] EECBS_MAKESPAN: 21, SOC(A*): 152, MS(A*): 21, TIMECOST: 0.0284
[126_Solution] EECBS_MAKESPAN: 21, SOC(A*): 152, MS(A*): 21, TIMECOST: 0.0286
[127_Solution] EECBS_MAKESPAN: 21, SOC(A*): 152, MS(A*): 21, TIMECOST: 0.0285
